GEO.id2,total_households,total_households_no_internet
42009960700,1327,398
42009960800,2065,498
42009960900,1946,522
42009961000,2307,637
42009961100,1638,402
42011000100,2330,1043
42011000200,1703,602
42011000300,732,121
42011000400,1368,408
42011000500,1193,306
42011000600,905,116
42011000700,1117,180
42011000800,1198,373
42011000900,890,200
42011001000,968,267
42011001100,1190,275
42011001200,498,150
42011001300,1076,266
42011001400,1294,369
42011001500,992,236
42011001600,866,200
42011001700,980,228
42011001800,948,243
42011001900,1074,353
42011002000,1400,329
42011002100,831,308
42011002200,605,162
42011002300,696,91
42011002500,1328,506
42011002600,1128,350
42011002700,844,196
42011002900,826,230
42011010100,2033,568
42011010201,1761,282
42011010202,2026,418
42011010302,1117,174
42011010303,822,81
42011010304,1812,296
42011010400,2879,678
42011010500,2390,514
42011010600,3173,319
42011010700,2637,315
42011010801,732,115
42011010802,3490,246
42011010902,1542,281
42011010903,2437,429
42011010904,1427,149
42011010905,1812,304
42011011000,1836,294
42011011101,1034,189
42011011102,2203,277
42011011200,1657,355
42011011300,1083,214
42011011400,2193,313
42011011500,1312,211
42011011601,2194,375
42011011602,1640,255
42011011603,2781,316
42011011701,2631,258
42011011702,1696,238
42011011703,1476,99
42011011800,1980,278
42011011902,1521,190
42011011903,1598,96
42011011904,2879,429
42011012001,958,183
42011012002,3703,354
42011012101,792,129
42011012103,897,103
42011012104,1280,201
42011012105,2971,201
42011012200,1270,188
42011012300,1828,253
42011012400,2514,454
42011012500,789,164
42011012600,854,162
42011012700,3565,555
42011012800,1552,284
42011012900,3160,489
42011013000,2687,535
42011013100,2090,290
42011013200,1904,457
42011013301,1212,201
42011013302,2277,315
42011013401,2970,434
42011013402,1185,180
42011013500,4350,463
42011013600,1548,166
42011013701,1421,332
42011013702,1571,287
42011013800,1948,605
42011013900,3203,465
42011014000,1994,309
42011014100,1462,342
42011014200,3137,645
42013010101,1515,390
42013010102,1209,241
42013010103,1011,251
42013010401,736,158
42013010402,2538,557
42013010500,1742,412
42013010600,1080,215
42013010700,2676,740
42013010800,1316,314
42013010900,2744,406
